Facility ID,Location ID,Facility Type (Display Name),Permit,FacilityType,Facility Rating,Asset Name
32308,11,Parking Lot,,Outdoor Parking Lot,,G. ROSS LORD PARK - Parking Lot (  7)
32311,11,Parking Lot,,Outdoor Parking Lot,,G. ROSS LORD PARK - Parking Lot (  8)
4436,11,Picnic Site,picnic,Picnic Site,,G. ROSS LORD PARK - Picnic Site (  1)
49566,11,Picnic Site,picnic,Picnic Site,,G. ROSS LORD PARK - Picnic Site (  2)
49565,11,Picnic Site,picnic,Picnic Site,,G. ROSS LORD PARK - Picnic Site (  3)
13763,11,Riding Stable,,Riding Stable,,G. ROSS LORD PARK - Riding Stable
18155,11,Sport Field,sport,Soccer Field - Premier,P,G. ROSS LORD PARK - Soccer Field (  1)
18156,11,Sport Field,sport,Soccer Field - Premier,P,G. ROSS LORD PARK - Soccer Field (  2)
18157,11,Sport Field,sport,Soccer Field - Premier,P,G. ROSS LORD PARK - Soccer Field (  3)
13493,11,Washroom Facility,,Washroom Building,,G. ROSS LORD PARK SPORTS PAVILLION
30891,11,Washroom Facility,,Washroom Building,,G. ROSS LORD PARK WASHROOM
17696,12,Ball Diamond,sport,Baseball Diamond Field - C,C,CALEDONIA PARK - Baseball Diamond Field
18018,12,Cricket Pitch Field,sport,Cricket Pitch Field - C,C,CALEDONIA PARK - Cricket Pitch Field (  1)
18019,12,Cricket Pitch Field,sport,Cricket Pitch Field - C,C,CALEDONIA PARK - Cricket Pitch Field (  2)
2446,12,Drinking Fountain,,Drinking Fountain,,CALEDONIA PARK - Drinking Fountain
29315,12,Changeroom Facility,,Changeroom Building,,CALEDONIA PARK - Fieldhouse
29315,12,Washroom Facility,,Washroom Building,,CALEDONIA PARK - Fieldhouse
29315,12,Fieldhouse,,Fieldhouse,,CALEDONIA PARK - Fieldhouse
17697,12,Multipurpose Field,,Multipurpose Field - C,C,CALEDONIA PARK - Multipurpose Field
32232,12,Parking Lot,,Outdoor Parking Lot,,CALEDONIA PARK - Parking Lot
49523,12,Parking Lot,,Outdoor Parking Lot,,CALEDONIA PARK - Parking Lot (  2)
10095,12,Practice Wicket,,Practice Wicket - C,C,CALEDONIA PARK - Practice Wicket
29958,13,Dressing Room,,Change Room ,,ADAM BECK COMMUNITY CENTRE - Dressing Room - Female
29959,13,Dressing Room,,Change Room ,,ADAM BECK COMMUNITY CENTRE - Dressing Room - Male
41242,13,Gymnasium,gym,Gymnasium - B,B,ADAM BECK COMMUNITY CENTRE - Gymnasium
29758,13,Kitchen,room,Kitchen,,ADAM BECK COMMUNITY CENTRE - Kitchen
48087,13,Multipurpose Room,room,Room - C,C,ADAM BECK COMMUNITY CENTRE - Multipurpose Room (  1)
48088,13,Multipurpose Room,room,Room - C,C,ADAM BECK COMMUNITY CENTRE - Multipurpose Room (  2)
48089,13,Multipurpose Room,room,Room - C,C,ADAM BECK COMMUNITY CENTRE - Multipurpose Room (  3)
2242,15,Drinking Fountain,,Drinking Fountain,,HOME SMITH PARK - Drinking Fountain
4284,15,Firepit,,Firepit,,HOME SMITH PARK - Firepit
57346,15,Pond,,Open Water,,HOME SMITH PARK - Open Water
4287,15,Picnic Site,picnic,Picnic Site,,HOME SMITH PARK - Picnic Site (  3)
29527,15,Washroom Facility,,Washroom Building,,HOME SMITH PARK - Washroom Building
32233,16,Parking Lot,,Outdoor Parking Lot,,CASSANDRA PARK - Parking Lot
34382,16,Playground,,Playground Site,,CASSANDRA PARK - Playground
47924,17,Craft Room,room,Room-Craft - C,C,ANNETTE COMMUNITY RECREATION CENTRE - Craft Room
29997,17,Dressing Room,,Change Room ,,ANNETTE COMMUNITY RECREATION CENTRE - Dressing Room - Female
29998,17,Dressing Room,,Change Room ,,ANNETTE COMMUNITY RECREATION CENTRE - Dressing Room - Male
40823,17,Fitness/Weight Room,,Room-Fitness/Weight - C,C,ANNETTE COMMUNITY RECREATION CENTRE - Fitness Centre
41259,17,Gymnasium,gym,Gymnasium - A,A,ANNETTE COMMUNITY RECREATION CENTRE - Gymnasium
10451,17,Indoor Pool,pool,Indoor Pool Tank - C,C,ANNETTE COMMUNITY RECREATION CENTRE - Indoor Pool Tank
29767,17,Kitchen,room,Kitchen - B,B,ANNETTE COMMUNITY RECREATION CENTRE - Kitchen
48107,17,Multipurpose Room,room,Room - C,C,ANNETTE COMMUNITY RECREATION CENTRE - Multipurpose Room (  1)
48108,17,Multipurpose Room,room,Room - C,C,ANNETTE COMMUNITY RECREATION CENTRE - Multipurpose Room (  2)
2656,19,Drinking Fountain,,Drinking Fountain,,ROSETTA MCCLAIN GARDENS - Drinking Fountain
32435,19,Parking Lot,,Outdoor Parking Lot,,ROSETTA MCCLAIN GARDENS - Parking Lot
41205,19,Picnic Shelter,picnic,Shelter,,ROSETTA MCCLAIN GARDENS - Picnic Shelter
29617,19,Washroom Facility,,Washroom Building,,ROSETTA MCCLAIN GARDENS - Washroom Building
2504,20,Drinking Fountain,,Drinking Fountain,,ALEXANDER STREET PARKETTE - Drinking Fountain
41264,21,Gymnasium,gym,Gymnasium - C,C,BALMY BEACH COMMUNITY RECREATION CENTRE - Gymnasium
17675,21,Multipurpose Field,,Multipurpose Field,,BALMY BEACH COMMUNITY RECREATION CENTRE - Multipurpose Field
48118,21,Multipurpose Room,room,Room - C,C,BALMY BEACH COMMUNITY RECREATION CENTRE - Multipurpose Room
23045,22,Bike Trail,,Bike Trail,,HUMBER RIVER RECREATIONAL TRAIL ( 64)
23047,22,Bike Trail,,Bike Trail,,HUMBER RIVER RECREATIONAL TRAIL ( 66)
23050,22,Bike Trail,,Bike Trail,,HUMBER RIVER RECREATIONAL TRAIL ( 69)
23053,22,Bike Trail,,Bike Trail,,HUMBER RIVER RECREATIONAL TRAIL ( 71)
23054,22,Bike Trail,,Bike Trail,,HUMBER RIVER RECREATIONAL TRAIL ( 72)
23056,22,Bike Trail,,Bike Trail,,HUMBER RIVER RECREATIONAL TRAIL ( 74)
